surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,n_runs,epsilon_mean,epsilon_std,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std
40.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.276615,0.0026362403452444786,4005219.661403414,47107.82762109802
40.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.2754,0.003368741761048424,3992254.7000080524,45962.87259694008
40.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.27503500000000003,0.0024504081292715417,3986898.1629663506,45216.95179226793
40.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.27563,0.002893022458842727,3989281.171376674,48426.370569282604
40.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.27466,0.002809457711299274,3981337.695628976,58768.46465688957
40.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.274825,0.002219500892211206,3978741.324028467,41088.334280289186
40.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.27505999999999997,0.0023390056366800515,3993833.5233411016,40643.16231208894
40.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.27462,0.0029987014733573957,3975800.8329263926,60238.4636743502
40.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.276735,0.0030611788235047135,4018043.541215674,51264.78033203732
50.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.275175,0.002439558847091228,3985776.7886063056,49827.27116865332
50.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.273415,0.0028994146414678076,3968498.5879212595,51189.60650166296
50.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.27608,0.0025584946231802324,4004477.271263999,47891.5193787362
50.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.276005,0.002073764692533833,4001355.24965733,39878.202173678415
50.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.274445,0.004315757541602017,3987643.467674248,83816.30789629821
50.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.274085,0.003944519849373966,3966330.4674911024,69330.75330233002
50.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.27480000000000004,0.0032588341473600733,3976243.1708823727,53493.08246280343
50.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.27584,0.0031580140328343986,4004636.0473306626,46243.23433907888
50.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.273915,0.003555614537156992,3972828.2377348775,65654.61093114025
50.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.27488,0.003203879227633771,3986249.342208299,54538.05058207205
50.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.27503,0.002836064730907031,3983287.559691672,47929.7134318515
50.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.27527,0.0032452556464054303,4001973.116917408,51077.863332818146
60.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.27430499999999997,0.0031379636373727563,3971662.655570917,53064.12401879273
60.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.27558,0.003255376120237191,3991240.802552813,58673.83031141594
