surface_temperature_k,h_gas_density_cm3,uv_flux_factor,gas_temperature_k,ct_model_variant,gas_flux_h_cm2_s,arrival_rate_per_site_s,sticking_probability,ct_epsilon,ct_h2_release_rate_cm2_s,ct02_epsilon,ct02_h2_release_rate_cm2_s,h2_release_rate_cm2_s_mean,ratio_kmc_over_ct02,log10_ratio_kmc_over_ct02
60.0,100.0,100.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9172604026887703,831067.6763954622,0.9172604026887703,831067.6763954622,304194.0972480985,0.3660280695399688,-0.4364856086523582
60.0,1000.0,0.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9172604026887703,8310676.763954623,0.9172604026887703,8310676.763954623,3086476.5643277233,0.37138691011477004,-0.43017340744897714
60.0,1000.0,1.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9172604026887703,8310676.763954623,0.9172604026887703,8310676.763954623,3095270.6889429567,0.372445082014004,-0.4289377560340869
60.0,1000.0,10.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9172604026887703,8310676.763954623,0.9172604026887703,8310676.763954623,3077125.6395866643,0.37026174004659745,-0.43149116222843825
60.0,1000.0,100.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9172604026887703,8310676.763954623,0.9172604026887703,8310676.763954623,3082958.9558348903,0.37096364633099616,-0.4306686482594161
60.0,10000.0,0.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9172604026887703,83106767.63954623,0.9172604026887703,83106767.63954623,30902479.07153328,0.3718407050261498,-0.4296430701837743
60.0,10000.0,1.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9172604026887703,83106767.63954623,0.9172604026887703,83106767.63954623,30901148.21742969,0.3718246912388086,-0.429661774024272
60.0,10000.0,10.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9172604026887703,83106767.63954623,0.9172604026887703,83106767.63954623,30817760.598123897,0.37082131183091893,-0.43083531405129144
60.0,10000.0,100.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9172604026887703,83106767.63954623,0.9172604026887703,83106767.63954623,30735807.96723624,0.36983519922883695,-0.43199175704011616
70.0,10.0,0.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.8731943587712933,79114.24113136074,0.8731943587712933,79114.24113136074,30551.67855266588,0.38617166916810947,-0.4132195906686775
70.0,10.0,1.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.8731943587712933,79114.24113136074,0.8731943587712933,79114.24113136074,30469.238060534663,0.385129625523978,-0.4143930726348183
70.0,10.0,10.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.8731943587712933,79114.24113136074,0.8731943587712933,79114.24113136074,29922.14276102588,0.3782143686538478,-0.4222619759972153
70.0,10.0,100.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.8731943587712933,79114.24113136074,0.8731943587712933,79114.24113136074,23101.23756896946,0.291998472570979,-0.5346194203177814
