shard_id,config_path,surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,output_filename,raw_runs_output
143,anvil/generated_mrn_r8/config_shard_0143.yaml,180.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0143.csv,results/anvil_mrn_r8/raw_chunk_0143.csv
144,anvil/generated_mrn_r8/config_shard_0144.yaml,200.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0144.csv,results/anvil_mrn_r8/raw_chunk_0144.csv
145,anvil/generated_mrn_r8/config_shard_0145.yaml,200.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0145.csv,results/anvil_mrn_r8/raw_chunk_0145.csv
146,anvil/generated_mrn_r8/config_shard_0146.yaml,200.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0146.csv,results/anvil_mrn_r8/raw_chunk_0146.csv
147,anvil/generated_mrn_r8/config_shard_0147.yaml,200.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0147.csv,results/anvil_mrn_r8/raw_chunk_0147.csv
148,anvil/generated_mrn_r8/config_shard_0148.yaml,200.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0148.csv,results/anvil_mrn_r8/raw_chunk_0148.csv
149,anvil/generated_mrn_r8/config_shard_0149.yaml,200.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0149.csv,results/anvil_mrn_r8/raw_chunk_0149.csv
150,anvil/generated_mrn_r8/config_shard_0150.yaml,200.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0150.csv,results/anvil_mrn_r8/raw_chunk_0150.csv
151,anvil/generated_mrn_r8/config_shard_0151.yaml,200.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0151.csv,results/anvil_mrn_r8/raw_chunk_0151.csv
152,anvil/generated_mrn_r8/config_shard_0152.yaml,200.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0152.csv,results/anvil_mrn_r8/raw_chunk_0152.csv
153,anvil/generated_mrn_r8/config_shard_0153.yaml,200.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0153.csv,results/anvil_mrn_r8/raw_chunk_0153.csv
154,anvil/generated_mrn_r8/config_shard_0154.yaml,200.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0154.csv,results/anvil_mrn_r8/raw_chunk_0154.csv
155,anvil/generated_mrn_r8/config_shard_0155.yaml,200.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0155.csv,results/anvil_mrn_r8/raw_chunk_0155.csv
156,anvil/generated_mrn_r8/config_shard_0156.yaml,220.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0156.csv,results/anvil_mrn_r8/raw_chunk_0156.csv
157,anvil/generated_mrn_r8/config_shard_0157.yaml,220.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0157.csv,results/anvil_mrn_r8/raw_chunk_0157.csv
158,anvil/generated_mrn_r8/config_shard_0158.yaml,220.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0158.csv,results/anvil_mrn_r8/raw_chunk_0158.csv
